Prioridade,Nome,Instagram,Telefone,WhatsApp,Bairro/Endereço,Especialidade,Qualidade,Status,Data Contato,Resposta,Notas
1,Clínica Orthos Odontologia,@orthos_odontologia_joinville,(47) 3439-1723,(47) 99999-2040,"Rua Afonso Pena, 1179 – Bucarein","Implantes, Estética, Invisalign",Alta,,,,
2,Clínica Dentária Joinville,@clinicadentariajoinville,(47) 3025-3334,(47) 98844-6018,"Trav. Dr. Norberto Bachmann, 147 – Centro","Geral, Prótese, Implantes",Alta,,,,
3,NEO Joinville,@neo.odontojoinville,(47) 3028-7722,,"Av. JK, 705 – Centro","Implantes, Lentes, Ortodontia",Alta,,,,
4,Dental Co,@dentalco.joinville,,(47) 99229-7279,"Rua Henrique Meyer, 216 – Centro","Implantes, Prótese, Estética",Alta,,,,
5,Felicità Odontologia,,(47) 3466-4126,(47) 99911-9933,"Rua Monsenhor Gercino, 3810 – Itaum","Geral, Estética, Implantes",Alta,,,,
6,Volte a Sorrir Joinville,@volteasorrirjoinville,(47) 4101-4610,(47) 99978-0425,"Rua Nove de Março, 720 – Centro","Implantes, Ortodontia, Harmonização",Alta,,,,
7,Prodentex Odontologia,,,(47) 99140-1314,"Rua Guanabara, 980 – Guanabara","Implantes, Ortodontia, Clareamento",Alta,,,,
8,Aclivia Odontologia,@aclivia.odontologia,,(47) 99176-9180,"Rua Benjamin Constant, 297 – América","Geral, Implantes, Pedo, Harmonização",Alta,,,,
9,Dentic Odontologia,@denticodonto,,(47) 99727-9869,"Rua Toríbio Soares Pereira, 397 – Iririú","Ortodontia, Invisalign, Implantes",Alta,,,,
10,Naturale Odontologia,@naturaleodontologia,(47) 3804-1333,,"Rua Otto Pfuetzenreuter, 597 – Costa e Silva","Estética, Saúde Bucal, Ortopedia",Alta,,,,
11,Berretta Odontologia,@berrettaodontologia,(47) 3422-1558,(47) 99926-5762,"Rua Princesa Izabel, 238 sl.204 – Centro","Ortodontia, Ortopedia Facial",Alta,,,,
12,Ortobom Odontologia,@ortobomjoinville,,(47) 98868-5198,"Rua XV de Novembro, 515 lj.10 – Centro","Ortodontia, Geral",Alta,,,,
13,BemEstar Implantes,,(47) 3202-8724,(47) 99194-8860,"Rua Visc. de Taunay, 662 – Atiradores","Implantes, Estética, Prótese",Alta,,,,
14,Clínica Boschini,@clinicaboschinijlle,,,"Rua Max Schwoelk, 63 – Anita Garibaldi","Geral, Estética",Alta,,,,
15,Dra. Karina Luvisa,@dra.karinaluvisa,,,"R. Monsenhor Gercino, 6170 sl.02 – Paranaguamirim","Geral, Harmonização Facial",Alta,,,,
16,Dra. Taila Locatelli,@dratailaodontopediatria,,(47) 98471-5195,Joinville,"Odontopediatria, Sedação",Alta,,,,
17,Dra. Carina Couto,@dracarinacouto,(47) 3202-6000,,"R. Blumenau, 64 sl.1207 – América","Odontopediatria, Ortodontia",Alta,,,,
